,Date,Arrondissement,Valeur
226,2021-11-01,Kokey,35.897259513796406
227,2021-12-01,Kokey,34.767287434032355
228,2022-01-01,Kokey,34.29141822219554
229,2022-02-01,Kokey,36.88661363943514
230,2022-03-01,Kokey,39.09092014958669
231,2022-04-01,Kokey,38.576273994733484
232,2022-05-01,Kokey,35.93503251128415
233,2022-06-01,Kokey,33.026717300836786
234,2022-07-01,Kokey,30.718325751305578
235,2022-08-01,Kokey,29.52648810273713
236,2022-09-01,Kokey,30.64988688168311
237,2022-10-01,Kokey,33.691209332602135
238,2022-11-01,Kokey,36.05352478750644
239,2022-12-01,Kokey,34.49785367137114
240,2019-01-01,Kokiborou,34.47840040448162
241,2019-02-01,Kokiborou,36.87044899277447
242,2019-03-01,Kokiborou,39.34009651232828
243,2019-04-01,Kokiborou,38.600057592370085
244,2019-05-01,Kokiborou,36.11223739889474
245,2019-06-01,Kokiborou,33.1246426263836
246,2019-07-01,Kokiborou,30.877239450460134
247,2019-08-01,Kokiborou,29.550173177936763
248,2019-09-01,Kokiborou,30.768743560791453
249,2019-10-01,Kokiborou,33.82444638731067
250,2019-11-01,Kokiborou,36.304691806727696
251,2019-12-01,Kokiborou,34.330497251801496
252,2020-01-01,Kokiborou,34.60115594141946
253,2020-02-01,Kokiborou,36.76263835827403
254,2020-03-01,Kokiborou,38.92500979217234
255,2020-04-01,Kokiborou,38.89963052918615
256,2020-05-01,Kokiborou,35.870333224262886
257,2020-06-01,Kokiborou,33.21129909089824
258,2020-07-01,Kokiborou,30.68519467454986
259,2020-08-01,Kokiborou,29.7365245352484
260,2020-09-01,Kokiborou,30.79586799361916
261,2020-10-01,Kokiborou,33.82187455814632
262,2020-11-01,Kokiborou,35.835133166959686
263,2020-12-01,Kokiborou,35.107826873175014
264,2021-01-01,Kokiborou,34.23368201936691
265,2021-02-01,Kokiborou,37.08089925166153
266,2021-03-01,Kokiborou,39.0619337146032
267,2021-04-01,Kokiborou,38.79889426082492
268,2021-05-01,Kokiborou,35.94803752257483
269,2021-06-01,Kokiborou,33.17995523001908
270,2021-07-01,Kokiborou,30.746710364822523
271,2021-08-01,Kokiborou,29.6717056953801
272,2021-09-01,Kokiborou,30.78260562365979
273,2021-10-01,Kokiborou,33.81911094338035
274,2021-11-01,Kokiborou,35.9931127931283
275,2021-12-01,Kokiborou,34.846551273825334
276,2022-01-01,Kokiborou,34.35082065694292
277,2022-02-01,Kokiborou,36.971477592777255
278,2022-03-01,Kokiborou,39.19780458109262
279,2022-04-01,Kokiborou,38.6964751618696
280,2022-05-01,Kokiborou,36.02614444045362
281,2022-06-01,Kokiborou,33.148522161034876
282,2022-07-01,Kokiborou,30.80819811989321
283,2022-08-01,Kokiborou,29.60703417078094
284,2022-09-01,Kokiborou,30.771030997477915
285,2022-10-01,Kokiborou,33.81745822269788
286,2022-11-01,Kokiborou,36.14713891568674
287,2022-12-01,Kokiborou,34.584824328142666
288,2019-01-01,Ounet,34.29397570073248
289,2019-02-01,Ounet,36.750822111358474
290,2019-03-01,Ounet,39.285223846638004
291,2019-04-01,Ounet,38.51364104116311
292,2019-05-01,Ounet,36.11364071054699
293,2019-06-01,Ounet,33.06363467153967
